nombre,run,dv,correo,contrasena,nombre_usuario,telefono_contacto,jornada,isapre,contrato
"Salvador Cepeda Ávalos",15036175,3,SalvadorOevalos@viajes.ceele,DqSd97YNK,Salvadorávalos,+56-9-2829-2369,Nocturno,Colmena,"Part time"
"Luis Carrera Ceballos",9777980,5,Luisceballos@viajes.cl,6G0v3SSwQIttF8,luis4589,"+56 9 1792 3418",Nocturno,Fonasa,"Part time"
"Teodoro Pagan Meza",26295075,1,teodoro835@viajes.cl,yV9yky6tg9u5v9oo,tepame,"+56 2 6791 8603",Nocturno,Colmena,"Part time"
"Marta Gamboa Cordero",6805516,4,marta5894@viajes.cl,Hbbh0d8xdJJC,Martacordero,"+56 9 4302 7435",Nocturno,Banmédica,"Part time"
"Rosario Mejía Miramontes",8872764,9,rosario2602@viajes.cl,eeacvYyOoA2UCZK,romemi,"+56 9 1953 9478",Diurno,"Más vida","Full time"
"Sra. Marta Gutiérrez Villareal",12350112,8,sra.5568@viajes.cl,6qvIjnFz7R4Pwk,srmaguvi,"+56 9 0095 4814",Nocturno,Colmena,"Part time"
"Sta. Luis Miguel Montalvo Saiz",15110175,5,Sta.saiz@viajes.cl,En2fH2INFYPJc,Sta.saiz,"+56 2 2796 3251",Diurno,"Más vida","Part time"
"Sra. Claudia Yáñez Godoy",11487178,8,Sra.godoy@viajes.cl,n9Qa0XBZQHljnoH,Sra.godoy,"+56 2 9081 1905",Diurno,"Más vida","Part time"
"Sofia Bonilla Vera",13017254,7,sobove@viajes.cl,2hnbI9RE,Sofiavera,"+56 9 1021 8731",Nocturno,Consalud,"Part time"
"Yolanda Concepción Sauceda",351331,9,Yolandasauceda@viajes.cl,aFHl6p3K9,Yolandasauceda,"+56 9 4800 6440",Diurno,Colmena,"Full time"
"Victoria Burgos Véliz",28087397,7,vibuvOo@viajes.cl,6i4ER590z,vibuvé,"+56 9 9734 1055",Diurno,Colmena,"Part time"
"Sr. Claudia Escobedo Alejandro",16792657,6,srclesal@viajes.cl,wLS2r8L3B,Sr.alejandro,"+56 2 5535 8190",Diurno,Banmédica,"Full time"
"Sta. Gloria Sotelo Casas",9815058,7,sta.6769@viajes.ceele,vivoiHhj8K,stglsoca,"+56 2 1104 8980",Nocturno,Fonasa,"Full time"
"Hernán Bétancourt Gonzales",15274845,0,hebOogo@viajes.cl,x4yFjiPTr0FDDF4,Hernángonzales,"+56 9 3540 9389",Diurno,Consalud,"Part time"
"Teodoro Gamez Correa",9780071,5,tegaco@viajes.cl,rQ59mTwY8PxPpL,Teodorocorrea,"+56 9 6383 2192",Nocturno,Consalud,"Part time"
"Sr. Alicia Salazar Trejo",1494413,3,sralsatr@viajes.ceele,vCIKnag7FVzYW,sralsatr,"+56 9 9921 0676",Diurno,Colmena,"Part time"
"Sr. Gilberto Ramos Zarate",16559139,9,Sr.zarate@viajes.cl,yD3oHfOMnQ,x,"+56 9 9300 1320",Nocturno,Consalud,"Part time"
"Sr. Eva Leiva Jiménez",22000555,0,Sr.jimOonez@viajes.cl,MH2DFPR1s4TiXt,sr.3635,"+56 9 9807 1295",Diurno,Banmédica,"Part time"
"Luis Quintero Esparza",28942329,0,Luisesparza@viajes.ceele,ygETProD7,Luisesparza,"+56 9 8876 6009",Nocturno,Fonasa,"Part time"
"Adán Vera Lemus",409415,8,advele@viajes.cl,PUB9K8J5O7mH,advele,"+56 2 1844 5606",x,"Más vida",x
"Sta. Norma Bahena Hernández",18622207,5,Sta.hernOendez@viajes.cl,sifOkNTJ5EerQk6V,Sta.hernández,"+56 9 8997 0297",Diurno,Colmena,"Part time"
"Adán Villa Saucedo",11246097,7,advisa@viajes.cl,3yb0crBYNUZsC,adán1383,"+56 9 6290 6688",Diurno,Banmédica,"Part time"
"María Soledad Díaz Sarabia",18717087,7,MarOAasarabia@viajes.cl,EfRU2s4a1w,maría2672,+56-2-8054-3579,Diurno,Fonasa,"Part time"
"Carmen Loya Delatorre",25664590,4,calode@viajes.ceele,7hzNqDPC,Carmendelatorre,+56-9-6253-5685,Nocturno,Banmédica,"Full time"
"Cristian Roldán Palacios",16903744,2,crropa@viajes.ceele,g5L0xCJWg3,cristian6427,"+56 2 3739 3584",Diurno,Banmédica,"Full time"
"Marilu Negrón Acosta",29533536,0,Mariluacosta@viajes.cl,0JHgzfcGJahJIrJ,marilu7058,"+56 9 6299 6768",Nocturno,Banmédica,"Full time"
"Adriana Barrios Terrazas",14562717,6,Adrianaterrazas@viajes.cl,cuuFAf3Es,adriana5221,"+56 9 4694 5932",Diurno,Consalud,"Full time"
"Sra. Juana Villareal Ortega",3439213,7,Sra.ortega@viajes.ceele,cRrnJZbrDwpqi1zi,Sra.ortega,"+56 9 7083 8008",Diurno,Banmédica,"Full time"
"Nicolás Rubio Robledo",1674676,2,nicolOes418@viajes.cl,v26oKeQO9,Nicolásrobledo,"+56 2 1463 8026",Nocturno,Consalud,"Full time"
"José María Briones Quiñónez",768824,5,josOo3304@viajes.cl,yUV3NMfsY,Joséquiñónez,+56-2-0696-4774,Nocturno,"Más vida","Part time"
"Diana Villaseñor Salas",20569323,8,diana3398@viajes.cl,BqU3jhTR00AkHIwP,Dianasalas,"+56 9 6503 0594",Diurno,"Más vida","Part time"
"Florencia Gamez Arias",3134790,4,Florenciaarias@viajes.cl,Kae3fvvvJvOFnIn4,florencia5166,+56-9-4133-5545,Nocturno,Consalud,"Part time"
"Patricia Cruz Romero",24469951,0,pacrro@viajes.cl,P1WPf0VA,patricia3928,"+56 2 0348 3277",Diurno,Consalud,"Part time"
"Adriana Acevedo Jasso",10398281,2,Adrianajasso@viajes.cl,QPyFsZ8locmteBU3,adriana1808,"+56 2 8894 6626",Diurno,Fonasa,"Part time"
"Sta. Homero Roybal Palomo",7257126,6,sthoropa@viajes.cl,YLy5wCD2L7a1k,Sta.palomo,"+56 9 5660 4564",Diurno,Consalud,"Part time"
"Jorge Delacrúz Magaña",13926022,8,jorge2701@viajes.cl,tr3gYoYVHRfON,jodema,"+56 9 9693 8840",Diurno,Colmena,"Full time"
"Benjamín Holguín Figueroa",25975747,9,BenjamOAnfigueroa@viajes.cl,RjN2EkNz,benjamín2651,"+56 2 4298 0110",Diurno,Colmena,"Part time"
"Cristobal Briseño Benavídez",7638017,1,cristobal3126@viajes.cl,4Td7nixf7,crbrbe,"+56 9 6226 5790",Diurno,Colmena,"Part time"
"Sr. Clara Chávez Medina",22601302,4,Sr.medina@viajes.cl,6Ex0q9CCEly,sr.7013,"+56 2 5581 7547",Nocturno,Fonasa,"Part time"
"Patricio Cazares Cardenas",16258092,2,patricio8381@viajes.cl,lU2gZLJa7KHa,patricio5036,"+56 2 1908 9471",Diurno,Banmédica,"Full time"
"Jerónimo Villalpando Blanco",4072896,1,JerOInimoblanco@viajes.cl,ewYjX7yUJMYv,jerónimo5432,"+56 2 4184 5899",Diurno,"Más vida","Full time"
"Ramón Batista Patiño",5733290,5,rabapa@viajes.ceele,tvh0eADZWFjZttd,Ramónpatiño,"+56 2 6729 2500",Nocturno,Fonasa,"Part time"
"Luisa Alonzo Juárez",16533167,2,LuisajuOerez@viajes.cl,gUda5GqZkyCj,luisa4377,"+56 2 6141 3996",Nocturno,Colmena,"Part time"
"Agustín Camarillo Rosas",22651889,4,agustOAn6873@viajes.cl,bhxYKS6ex5d6LeE1,Agustínrosas,"+56 9 3357 2609",Diurno,"Más vida","Part time"
"José Emilio Meraz Corona",7990390,6,joemmeco@viajes.cl,fvET8pwZpdOmY8O,joemmeco,"+56 9 8631 9868",Nocturno,Fonasa,"Part time"
"Sta. Carla Palomo Rojas",3290147,6,Sta.rojas@viajes.cl,aCwn6ffLFpC94pj,stcaparo,"+56 2 1737 0465",Nocturno,Colmena,"Full time"
"María Teresa Rivero Villareal",9378937,7,MarOAavillareal@viajes.cl,eh34kpKOQ,Maríavillareal,"+56 2 8502 3095",Nocturno,Fonasa,"Full time"
"Sra. Ángela Báez Sánchez",5614907,4,sra.626@viajes.cl,nHgy0j4eG,sránbásá,+56-2-0628-0015,Nocturno,Banmédica,"Full time"
"Lourdes Anguiano Gamez",7987955,0,Lourdesgamez@viajes.cl,TSXfgJf9YW,loanga,"+56 9 3609 3230",Diurno,Consalud,"Part time"
"Patricia Fuentes Aguirre",2974144,1,patricia1147@viajes.cl,5pOWUfLcbdrprn34,Patriciaaguirre,"+56 9 9621 9042",Nocturno,Fonasa,"Part time"
"Lourdes Castañeda Bustos",26760452,5,locabu@viajes.cl,iuhMpRigB4RiTtF,Lourdesbustos,"+56 2 0555 3862",Nocturno,Banmédica,"Part time"
"Sra. Benito Tejada Anaya",12345742,0,sra.9207@viajes.cl,5h8vXlMp,Sra.anaya,"+56 2 1571 8066",Diurno,Fonasa,"Part time"
"Sr. Soledad Llamas Puga",20736993,4,srsollpu@viajes.cl,GegRfJTHc9yrv9,srsollpu,"+56 2 2524 8901",Diurno,Colmena,"Part time"
"Mariana Cortés Rolón",12352264,8,mariana7516@viajes.ceele,ijEQ8iIVhADT7Z,macoro,"+56 9 0871 2971",x,Consalud,"Part time"
"Sta. Luz Terrazas Navarrete",17101463,8,sta.7226@viajes.ceele,tab6eCPM6djz,Sta.navarrete,"+56 2 7148 8359",Diurno,Consalud,"Part time"
"María Teresa Gurule Sedillo",10796104,6,marOAa9841@viajes.cl,7s6bZd9AMz3RW,Maríasedillo,"+56 2 5760 1966",Diurno,Consalud,"Part time"
"Elsa Chávez Aguilera",11133673,3,Elsaaguilera@viajes.cl,prSIfW2xtF5JW,Elsaaguilera,"+56 2 5716 2003",Nocturno,Consalud,"Full time"
"Sr. Guillermo Zambrano Zepeda",10612645,3,srguzaze@viajes.cl,qE0RVuQEBjEwC1T,srguzaze,+56-9-6748-2921,Nocturno,Banmédica,"Full time"
"Sr. Fernando Tejeda Garrido",25353260,2,srfetega@viajes.cl,H0na3CrJI2fPSP,sr.334,"+56 9 8800 5500",Diurno,Banmédica,"Full time"
"Rodrigo Bañuelos Valdivia",19354341,3,robava@viajes.cl,oB0BbelhosvX,rodrigo5176,"+56 9 9888 4589",Diurno,Consalud,"Part time"
"Amalia Saavedra Arredondo",4817755,7,amalia4376@viajes.cl,35AbhCPDuEK635l,amalia3357,"+56 2 6849 0023",Diurno,Consalud,"Part time"
"Sta. Josefina Saavedra Alva",6699815,0,Sta.alva@viajes.cl,L2OaV5rtpX9,stjosaal,"+56 2 0286 9012",Nocturno,Colmena,"Full time"
"Daniela Armijo Trujillo",27097223,3,daartr@viajes.cl,WE8Yn1ZXKxQ,Danielatrujillo,"+56 9 9825 5504",Nocturno,Consalud,"Full time"
"Sr. Esperanza Varela Delrío",22897575,3,sresvade@viajes.cl,mckpd8KlI14Ar3,Sr.delrío,"+56 9 3523 7065",Diurno,Banmédica,"Full time"
"Ramona Castellanos Sanabria",2465933,0,Ramonasanabria@viajes.cl,gK3MQujgpE3rd,Ramonasanabria,"+56 2 8824 2629",Diurno,Consalud,"Full time"
"Gilberto Burgos Mena",23658789,4,gilberto3151@viajes.cl,41Jz9km2OLx,gilberto4278,"+56 2 8922 5932",Diurno,Fonasa,"Part time"
"Arturo Montez Macías",13541157,4,armoma@viajes.cl,IdjUypmv6t4Bip12,armoma,"+56 9 6115 0867",Nocturno,Banmédica,"Full time"
"Martín Apodaca Bahena",11871492,0,MartOAnbahena@viajes.cl,TW6DpgGuHZW42,martín4959,+56-2-4671-5890,Nocturno,"Más vida","Full time"
"Marco Antonio Zepeda Cano",12164451,7,marco1971@viajes.cl,6mRnvtXTWE36Y,Marcocano,"+56 9 5973 1706",Nocturno,Colmena,"Part time"
"Sra. Gabriela Montemayor Valenzuela",802930,0,sra.8297@viajes.cl,S5szOdLrYnLvhGr,sra.4285,"+56 9 5961 4559",Nocturno,Consalud,"Full time"
"Marcela Berríos Rojas",12183086,8,marcela9572@viajes.ceele,JIb5be8dS4Va,Marcelarojas,"+56 2 4962 5878",Nocturno,Consalud,"Full time"
"Ramona Marrero Ferrer",28946695,9,ramona9355@viajes.ceele,BDsu1LSm8,Ramonaferrer,"+56 2 5927 1312",Nocturno,Consalud,"Part time"
"Dolores Valdés Rascón",22321338,3,dolores3638@viajes.cl,8wctT7sO13,dovara,"+56 9 5790 9703",Nocturno,Consalud,"Part time"
"Samuel Curiel Rivas",8079407,0,sacuri@viajes.cl,Qxqs21mnK4cBe,sacuri,+56-9-1960-4708,Nocturno,Colmena,"Part time"
"Octavio Orta Reséndez",11828438,0,OctavioresOondez@viajes.cl,k8tO4NzY,octavio7725,"+56 2 5458 1282",Diurno,Consalud,"Part time"
"Adela Galindo Muñoz",17339738,0,adgamu@viajes.cl,csR4y1dlL8WD8,adgamu,+56-9-3718-1804,Diurno,Banmédica,"Full time"
"José Luis Mesa Ramos",8410923,1,josOo5340@viajes.ceele,0JCFbufBqfqob8,josé367,"+56 2 9921 9942",Nocturno,Colmena,"Full time"
"Arturo Badillo Valdivia",23819217,0,arturo6593@viajes.cl,tCKJ2hSKpg6h9K,Arturovaldivia,"+56 2 9083 1995",Nocturno,Banmédica,"Part time"
"Armando Muñoz Hidalgo",5840258,3,armuhi@viajes.ceele,0wv7NU6iV,Armandohidalgo,"+56 2 1886 5628",Diurno,Banmédica,"Full time"
"Leticia Zambrano Rosario",23608361,6,Leticiarosario@viajes.cl,vVY2QMhhXTaxL,Leticiarosario,"+56 9 5301 0898",Diurno,"Más vida","Full time"
"Sr. Julio Rojo Báez",13218837,8,srjurobOe@viajes.cl,IYjU8Fm6nZK,srjurobá,"+56 9 7784 7590",Nocturno,"Más vida","Full time"
"Sta. Rubén Laboy Cardenas",8101279,2,Sta.cardenas@viajes.cl,bhFeOO7kuTQgJxZ,strulaca,"+56 2 7545 9023",Nocturno,Consalud,"Full time"
"Gregorio Valadez Rojas",20981473,0,gregorio8563@viajes.cl,fWU5mzdd4A,Gregoriorojas,"+56 9 2751 5329",Nocturno,Fonasa,"Full time"
"Isabel Zúñiga Baeza",6560937,1,iszOUba@viajes.ceele,eqkl26kBIJD878E,Isabelbaeza,"+56 9 8646 3213",Nocturno,Fonasa,"Part time"
"Federico Orta Ortiz",9893776,5,feoror@viajes.ceele,fSRk5w6nKj,Federicoortiz,"+56 9 8618 4130",Nocturno,"Más vida","Part time"
"Sra. Hernán Sáenz Meza",13221545,6,sra.6448@viajes.cl,j7Uh2dv8DA,Sra.meza,"+56 9 8201 7089",Nocturno,Fonasa,"Part time"
"Catalina Palomino Balderas",22115918,7,capaba@viajes.cl,EIeVu5YEzGKdmR,Catalinabalderas,"+56 2 2852 4864",Nocturno,Consalud,"Part time"
"Ester Santiago Valverde",19043071,5,Estervalverde@viajes.cl,7ybuZ06vWwS,ester3234,"+56 2 5095 4434",Nocturno,Banmédica,"Full time"
"Victoria Chavarría Páez",21005812,5,victoria4709@viajes.cl,zwZHLxQA6,vichpá,"+56 2 1577 7248",Nocturno,Colmena,"Part time"
"Sr. Timoteo Rivera Barela",10764883,6,sr.9069@viajes.cl,aXoI8xPs7wdvk,sr.4322,"+56 9 4521 6731",Nocturno,"Más vida","Part time"
"Sra. Sergio Peres Saiz",465683,0,sra.5341@viajes.cl,Ov8D6qUqRle,srsepesa,+56-9-2424-4119,Diurno,"Más vida","Full time"
"Hugo Escamilla Roldán",20330535,4,hugo336@viajes.cl,QVvhrJLz0,hugo8139,x,Diurno,Fonasa,"Part time"
"Juana Zavala Miranda",29592483,7,juana7952@viajes.ceele,KJx974NLKBrL2Be,juana2586,"+56 9 9699 9437",Nocturno,Banmédica,"Part time"
"Beatriz Galindo Puga",19536094,4,Beatrizpuga@viajes.cl,SQh5doVxRX,begapu,"+56 9 6345 9873",Diurno,Consalud,"Full time"
"Blanca Soria Granado",10481116,7,Blancagranado@viajes.cl,7YS1fCG9N,blanca5259,"+56 9 5388 9868",Diurno,"Más vida","Part time"
"Rodrigo Madrigal Méndez",19281723,4,rodrigo5161@viajes.cl,Uw6AHkeaoDaFi7h,romamé,"+56 9 0514 3276",Nocturno,Fonasa,"Part time"
"Sr. Adriana Villa Briones",19829547,7,sr.9626@viajes.cl,s5ozlrtT0,Sr.briones,"+56 9 7199 7672",Nocturno,Consalud,"Full time"
"Sta. Francisco Márquez Laboy",8626176,6,sta.9992@viajes.cl,5kWVHhbMK,sta.9960,"+56 9 5655 7913",Diurno,Banmédica,"Full time"
"Miguel Ángel Arriaga Munguía",16948384,1,MiguelmunguOAa@viajes.cl,DOt2o47Wuk95,miguel7623,"+56 2 1245 1491",Diurno,Banmédica,"Part time"
"Blanca Ledesma Garay",21336246,1,bllega@viajes.ceele,b2Z0jQL38fdO,bllega,"+56 2 3562 1888",Nocturno,"Más vida","Full time"
"Rosa Quiñónez Lira",22855130,9,Rosalira@viajes.ceele,suwtuK8u,Rosalira,"+56 9 8193 7676",Diurno,Banmédica,"Full time"
"Sr. María Elena Almanza Vázquez",11076307,7,Sr.vOezquez@viajes.cl,sHI1afWW6xndjC3h,Sr.vázquez,"+56 2 2695 8382",Nocturno,Fonasa,"Full time"
"Clemente Colón Olmos",28212621,4,clcool@viajes.cl,IhoM55evBtRL03,Clementeolmos,"+56 2 0272 2939",Nocturno,Banmédica,"Part time"
"Sra. Sonia Olivo Juárez",4806527,9,sra.1194@viajes.cl,MG37gj6wOef,sra.3649,"+56 2 7027 6673",Nocturno,Consalud,"Full time"
"Marco Antonio Hernández Marín",29903153,5,MarcomarOAn@viajes.cl,Nwu90KbXlnuQHtfi,Marcomarín,"+56 9 3811 1701",Nocturno,Consalud,"Full time"
"Juan Carlos Salas Jaramillo",1385307,0,juan5265@viajes.ceele,qOiaoah9Nt5Q,juan5399,"+56 9 8962 0567",Nocturno,Consalud,"Full time"
"Homero Barragán Lira",3036210,1,homero7480@viajes.cl,8BeM8FehoypwN6vM,homero4605,"+56 9 3892 9511",Diurno,Banmédica,"Full time"
"Sra. Pilar Delgado Melgar",6503974,5,srpideme@viajes.ceele,0jo36pXTcGI,sra.4497,"+56 2 9380 8083",Diurno,Banmédica,"Full time"
"Sta. Agustín Lerma Carvajal",27934611,4,Sta.carvajal@viajes.cl,xfw4pxOO3ckMO,Sta.carvajal,"+56 2 4871 7575",Diurno,Colmena,"Part time"
"Daniela Longoria Gonzales",17567522,1,daniela9768@viajes.cl,btk8CggW,Danielagonzales,+56-9-3097-6920,Nocturno,Fonasa,"Full time"
"Raúl Navarrete Sepúlveda",3125751,4,raOUl428@viajes.cl,RRihb9Ay,ranase,+56-2-8603-6813,Diurno,Colmena,"Full time"
"Julia Verdugo Varela",2569562,3,julia8294@viajes.cl,EcaIqW85,juveva,"+56 9 5079 6045",Diurno,Consalud,"Full time"
"Gustavo Miranda Salcedo",5461482,9,gumisa@viajes.cl,5MvI4vnTsl6F2R,gumisa,"+56 2 9014 9342",Diurno,Consalud,"Part time"
"María Soledad Sauceda Canales",20199453,5,masosaca@viajes.cl,KiXA0qK7OuJ3,maría1106,"+56 9 6283 4871",Nocturno,Banmédica,"Part time"
"José Emilio Lerma Olmos",21860756,0,joemleol@viajes.cl,RJ804qaMrSWZNh,Joséolmos,"+56 2 2800 6961",Diurno,Banmédica,"Full time"
"Gabriela Perea Meraz",16573847,0,gabriela3777@viajes.ceele,FpaT8Moyk,gabriela6003,"+56 9 4183 2497",Diurno,Colmena,"Full time"
"Ernesto Vergara Suárez",12390633,0,ervesu@viajes.cl,z97geu4DrqDZvym3,Ernestosuárez,"+56 9 8046 7168",Nocturno,Colmena,"Part time"
"José Emilio Villareal Garrido",29622592,4,josOo5806@viajes.ceele,5Rzy49D5,joemviga,"+56 2 3682 5675",Nocturno,Banmédica,"Full time"
"Sta. Gloria Sotelo Casas",9815058,7,sta.6769@viajes.cl,vivoiHhj8K,stglsoca,"+56 2 1104 8980",Nocturno,Fonasa,"Full time"
"Mayte Armenta Hernández",14232031,2,maarhe@viajes.cl,GdvQn84U,Maytehernández,"+56 2 9931 5923",Diurno,Consalud,"Full time"
"Teresa González Zavala",17186085,7,teresa3081@viajes.cl,zIM5o4vx56QY,Teresazavala,"+56 2 2340 4610",Nocturno,Fonasa,"Full time"
"Lorenzo Zapata Contreras",29601895,3,lozaco@viajes.cl,wAVh1afO7EgmPqT2,lozaco,"+56 9 3425 3386",Nocturno,Fonasa,"Full time"
"Gregorio Olivárez Ochoa",28210300,1,groloc@viajes.cl,nrYjZ8Ye3Au4N,groloc,"+56 2 4546 1643",Diurno,Banmédica,"Full time"
"Mario Bustamante Escobedo",17017236,1,Marioescobedo@viajes.cl,msG3hK09ePX,mario8217,"+56 2 3687 2351",Nocturno,Colmena,"Part time"
"José Luis González Miranda",14343944,5,JosOomiranda@viajes.ceele,Fw2q949ZY0Bpv8dp,josé1603,"+56 2 7418 5567",Diurno,Colmena,"Part time"
"Esteban Villagómez Godoy",1412359,8,esteban5882@viajes.ceele,7Gc9lV5B6aKPmFb,Estebangodoy,"+56 9 7340 9232",Diurno,Consalud,"Part time"
"Guillermina Ornelas Lemus",22591103,7,guillermina6592@viajes.cl,p1t9aR7b1GHrS9L,Guillerminalemus,"+56 2 2790 3130",Nocturno,"Más vida","Part time"
"Ana Sierra Almonte",29913551,9,ansial@viajes.cl,8SHkPo5l,Anaalmonte,+56-2-6031-2354,Nocturno,Colmena,"Full time"
"Sta. Salvador Altamirano Rendón",6769256,0,stsaalre@viajes.cl,xQB6mqRo2d6KwIp,Sta.rendón,"+56 2 7776 3903",Nocturno,Colmena,"Part time"
"Victoria Paredes Navarrete",10488667,1,vipana@viajes.cl,FfrtNJ4dvFQniLDW,Victorianavarrete,"+56 9 5901 1912",Diurno,Fonasa,"Part time"
"Graciela Cortés Blanco",16614360,8,graciela2640@viajes.cl,ig5EBpoGTU5,grcobl,"+56 9 3716 6950",Nocturno,Fonasa,"Part time"
"David Posada Mejía",16311237,0,dapome@viajes.cl,ROEAOa3nzgi,Davidmejía,"+56 9 2213 5034",Diurno,"Más vida","Full time"
"Jorge Luis Guardado Palacios",19421965,2,Jorgepalacios@viajes.ceele,x,Jorgepalacios,+56-2-4833-7985,Diurno,Fonasa,x
"Jorge Abreu Blanco",17845399,8,jorge1881@viajes.cl,57EzWRfD,joabbl,"+56 9 5542 6596",Nocturno,Fonasa,"Full time"
"Sra. Lilia Urías Meraz",3440045,8,srliurme@viajes.cl,h7WMAu7A,sra.1644,"+56 2 9666 4129",Nocturno,Consalud,"Full time"
"María Cristina Gil Villanueva",16725992,8,macrgivi@viajes.cl,owaR6y1Edbsj6hl,Maríavillanueva,"+56 2 2022 6970",Diurno,Consalud,"Part time"
"Ernesto Blanco Díaz",5222058,0,ErnestodOAaz@viajes.cl,H36uxAfafu,erbldí,"+56 2 6548 5244",Nocturno,Colmena,"Full time"
"Gilberto Mata Pulido",14633657,4,gimapu@viajes.cl,iEIIJ6VLDvtvUm1S,gimapu,"+56 2 7678 9322",Nocturno,Consalud,"Full time"
"Gonzalo Camarillo Palomino",25849194,7,Gonzalopalomino@viajes.ceele,YRErwi5Ygy,gonzalo8614,"+56 9 6156 1989",Diurno,Colmena,"Part time"
"Sr. Patricio Barajas Medina",16239399,5,srpabame@viajes.cl,d3RuAqzeL4,sr.9876,"+56 2 0502 5399",Diurno,Fonasa,"Full time"
"María José Valdivia Sanches",22796469,3,majovasa@viajes.cl,rTx76E74vdHN,majovasa,"+56 2 7711 2387",Nocturno,Fonasa,"Part time"
"Concepción Loera Benavides",20577208,1,concepciOIn7158@viajes.ceele,7G1UNrIx5O,colobe,+56-2-9832-0765,Diurno,Fonasa,"Part time"
"Sra. Jorge Luis Roldán Palacios",7504615,4,Sra.palacios@viajes.cl,Rzfsy3Wgs09pGg,Sra.palacios,"+56 2 6425 3951",Diurno,Colmena,"Part time"
"Luz Valdés Zepeda",3189454,9,Luzzepeda@viajes.cl,RYNCAgDh5NhQG,luz7744,"+56 9 8448 3246",Diurno,"Más vida","Part time"
"Arturo Cisneros Roldán",1725723,4,arciro@viajes.cl,f6fRGUqRYpG,arturo4558,"+56 9 2493 2123",Nocturno,Consalud,"Part time"
"Sta. Alberto Jasso Tapia",13652163,2,sta.9977@viajes.cl,UsDKjm6w0u8lZJf,staljata,"+56 2 9242 6167",Diurno,Fonasa,"Full time"
"Sr. Lorena Echevarría Almanza",4301417,0,srloecal@viajes.cl,1j6zHv0k1njI,srloecal,"+56 2 4075 6103",Diurno,"Más vida","Full time"
"Vicente Galván Benítez",27795256,4,vicente3701@viajes.ceele,QN6o0ellalfNS39,Vicentebenítez,"+56 9 2245 4414",Nocturno,Consalud,"Full time"
"Sr. Gonzalo Regalado Alemán",705489,0,Sr.alemOen@viajes.cl,9bDCH6nSusAJy8X,sr.1662,"+56 9 0443 8315",Nocturno,Fonasa,"Full time"
"Guadalupe Varela Rivero",8598319,9,Guadaluperivero@viajes.ceele,0LCf8zRDci5W,guvari,"+56 2 7123 2492",Diurno,Banmédica,"Full time"
"Rosario Saucedo Carranza",13912425,1,rosario4305@viajes.cl,ipkHXkD5o4,rosario3348,"+56 9 4149 1226",Nocturno,Consalud,"Part time"
"Alfredo Delarosa Zapata",12685357,2,Alfredozapata@viajes.ceele,LFXm3bwbys2vXsfg,Alfredozapata,"+56 9 0163 6647",Nocturno,Fonasa,"Part time"
"Olivia Armijo Villagómez",26961500,1,olarvi@viajes.cl,Y3ERuR6puIPTNIG0,olivia1337,"+56 9 8738 4850",Nocturno,Fonasa,"Full time"
"Gustavo Benavides Ulibarri",16289292,4,Gustavoulibarri@viajes.cl,LsIFDHHt1O3Q8Hpe,Gustavoulibarri,"+56 9 0059 6890",Diurno,Banmédica,"Part time"
"Arturo Alba Armas",25966003,3,Arturoarmas@viajes.cl,r0G1txfFuD9hr,arturo6479,"+56 9 5580 6036",Diurno,Fonasa,"Full time"
"Benito Fonseca Lugo",24037848,5,Benitolugo@viajes.cl,lA6Xcil00S,befolu,"+56 2 9215 7136",Nocturno,Fonasa,"Full time"
"Sta. Francisca Barrientos Mata",3727741,0,Sta.mata@viajes.ceele,2yQADgdy9OmOeXh4,sta.545,+56-2-5983-3428,Nocturno,Banmédica,"Full time"
"Cristina Riojas Valencia",1579457,7,crriva@viajes.cl,Xqd1x1S7r,crriva,"+56 9 3998 5403",Diurno,Banmédica,"Full time"
"Elisa Bonilla Laboy",4099864,0,Elisalaboy@viajes.ceele,ZMP1kdIaXWK1,elbola,"+56 9 7222 9086",Diurno,Fonasa,"Part time"
"Fernando Urrutia Pizarro",20722250,0,Fernandopizarro@viajes.cl,g2U5kCJqyk,Fernandopizarro,"+56 9 2557 4052",Nocturno,Fonasa,"Part time"
"Ester Gollum Espinosa",22457322,7,ester2114@viajes.cl,JB6x7YsM,Esterespinosa,"+56 9 0284 6091",Diurno,Banmédica,"Part time"
"Martín Escamilla Laureano",29975207,0,maesla@viajes.cl,r53eYkN11ttfQWA,martín862,+56-2-6637-8811,Diurno,Colmena,"Full time"
"Rosario Rangel Holguín",8318621,6,roraho@viajes.cl,5Ah9aUmU1DB7NCJ,roraho,"+56 9 2401 0021",Diurno,Colmena,"Part time"
"Claudia Delgado Parra",10896919,9,cldepa@viajes.ceele,szpOWxs52ddiOX,Claudiaparra,+56-2-4322-2636,Nocturno,Fonasa,"Part time"
"Sra. Cristian Franco Matos",5417365,2,srcrfrma@viajes.cl,Dz42JqwiBR9vQ,srcrfrma,"+56 2 7879 6411",Diurno,Colmena,"Part time"
"Eduardo Galindo Delgado",9982966,4,eduardo2781@viajes.cl,2u29fg3yoANtEsnl,eduardo7800,"+56 9 0804 0292",Nocturno,Colmena,"Full time"
"Victoria Vera Cepeda",7543753,6,victoria2118@viajes.cl,RTzH7Vwt,Victoriacepeda,"+56 9 7005 8129",Nocturno,Fonasa,"Part time"
